Supplies
67
71
70
87
98
Demands
51
49
35
84
65
CostMatrix
58,42,48,42,52,60,44,47,49
59,47,48,49,59,52,49,63,47
62,52,56,65,44,67,40,43,63
68,53,66,48,44,55,61,50,54
50,60,63,62,58,49,46,44,58
41,62,58,63,46,40,69,65,47
68,66,48,64,45,66,42,59,66
50,58,52,62,48,50,62,53,68
49,49,46,46,57,61,63,42,52
fixedCosts
17,9,8,6,18,18,5,19,9
10,5,11,17,18,12,12,5,11
14,8,16,6,19,9,9,12,12
7,13,18,16,9,10,16,11,12
15,6,16,6,19,10,15,9,5
13,10,11,12,13,6,10,19,17
15,17,12,5,5,18,8,6,9
16,19,10,12,12,7,10,16,7
12,10,17,7,12,8,12,10,12
