Supplies
68
54
55
92
80
Demands
78
56
89
30
77
CostMatrix
60,63,63,55,48,55,50,44,65
56,52,45,42,59,58,66,53,69
63,54,68,46,41,68,63,62,47
55,61,65,40,48,54,56,52,48
69,40,65,45,42,55,66,48,62
42,40,57,66,69,42,44,54,47
45,46,68,56,66,60,47,57,47
54,40,55,61,69,45,51,40,41
44,62,40,57,68,58,69,63,52
fixedCosts
11,11,12,7,6,12,17,10,14
16,5,16,13,12,18,9,7,19
16,6,10,8,19,14,15,12,13
17,6,12,14,6,17,13,18,7
10,9,11,16,6,9,9,9,12
16,15,13,13,14,17,11,16,13
17,17,17,12,15,17,8,6,10
6,7,7,16,7,15,5,11,5
16,15,11,6,9,18,18,13,19
