Supplies
64
50
70
43
80
Demands
32
48
36
33
40
CostMatrix
66,59,64,68,44,49,56,42,68
63,46,59,66,66,44,46,50,50
64,40,55,50,45,57,68,46,66
46,48,63,69,65,55,50,61,49
53,46,58,49,52,56,40,63,46
61,48,67,49,42,48,48,66,49
61,59,45,59,59,66,53,59,53
44,59,44,48,58,47,67,56,47
44,57,57,40,42,69,67,69,60
fixedCosts
18,17,5,8,7,7,19,11,9
11,7,11,17,8,14,17,15,9
18,7,5,18,8,17,13,10,12
14,11,17,7,12,5,17,12,18
17,16,15,17,11,8,7,15,9
19,7,18,6,7,12,17,13,10
11,6,14,8,8,18,17,19,15
6,9,7,7,18,10,6,7,5
8,15,12,9,16,15,11,10,12
