Supplies
77
96
37
33
93
Demands
68
45
99
89
50
CostMatrix
47,68,41,41,56,58,51,60,41
64,59,64,44,51,64,59,63,68
60,58,43,69,49,44,54,55,40
41,51,44,54,42,69,67,56,49
43,69,47,54,52,49,57,41,63
68,42,54,57,41,42,45,44,50
65,68,40,48,66,45,64,55,43
61,67,63,47,59,56,65,67,43
67,68,42,57,68,56,66,49,47
fixedCosts
11,15,6,16,17,7,8,8,14
6,13,12,7,6,19,9,15,19
15,18,12,17,6,9,15,11,9
17,7,7,14,15,10,17,19,13
10,12,12,12,16,12,13,18,14
6,11,7,12,11,11,15,11,16
5,13,12,17,9,9,14,12,15
19,13,17,7,17,16,7,16,17
17,15,14,18,16,6,7,12,11
