Supplies
64
72
75
73
86
Demands
82
64
30
79
60
CostMatrix
58,59,64,58,66,65,48,49,52
52,50,57,50,47,65,63,69,59
65,46,69,48,60,43,57,64,59
67,53,56,68,64,49,54,61,45
54,51,55,51,61,49,56,59,42
40,48,65,67,58,41,66,68,59
57,52,49,67,56,69,62,65,57
59,43,65,45,47,55,46,54,59
61,59,43,57,57,46,57,55,54
fixedCosts
7,5,7,5,18,11,6,14,6
9,8,12,18,9,6,13,13,19
7,14,6,13,13,14,5,6,10
11,17,11,16,16,9,16,12,15
18,5,5,15,6,6,18,16,14
7,7,6,10,9,14,8,14,7
15,5,8,14,8,14,14,7,13
12,13,13,5,11,6,7,17,5
19,7,12,9,14,10,18,8,9
