Supplies
76
46
58
71
45
Demands
49
94
85
73
69
CostMatrix
48,65,66,44,67,44,54,52,63
53,50,53,49,40,57,67,46,42
56,51,63,61,51,68,43,45,66
62,59,46,49,57,50,64,60,41
59,65,52,48,41,54,45,66,48
41,43,62,69,57,53,45,49,64
58,40,52,69,56,63,43,57,49
62,54,66,47,48,47,41,56,54
66,53,49,56,47,49,48,46,50
fixedCosts
7,12,13,8,17,12,5,10,11
5,10,15,5,17,11,8,14,6
10,11,18,7,19,13,6,5,6
16,9,8,10,6,13,9,9,5
12,15,10,7,6,5,14,11,18
16,15,17,7,9,16,12,5,10
14,6,15,7,9,18,9,18,7
8,8,7,13,15,14,18,17,11
16,6,12,15,13,11,14,16,11
