Supplies
90
97
81
75
66
Demands
77
99
34
68
51
CostMatrix
51,40,61,52,66,51,53,59,62
40,64,56,58,65,64,52,64,63
47,60,61,47,45,42,69,64,54
56,55,55,44,45,67,42,54,69
56,50,46,53,54,58,58,58,59
67,57,48,54,62,64,59,64,59
56,53,67,63,55,41,51,69,58
67,42,66,62,43,58,51,67,56
61,49,48,42,53,56,51,59,47
fixedCosts
10,13,7,10,14,15,5,6,9
17,16,17,14,11,6,17,5,14
6,10,13,18,9,12,6,17,12
18,19,7,15,9,18,11,9,15
6,9,9,5,16,14,12,6,7
5,7,8,6,14,9,9,8,5
7,8,13,18,15,9,17,8,16
19,14,15,16,16,17,12,18,18
19,6,15,16,5,19,10,11,16
