Supplies
89
95
68
58
51
Demands
56
84
52
93
69
CostMatrix
66,69,48,60,44,44,40,53,66
67,48,40,51,50,54,66,43,55
66,44,56,67,42,57,40,45,44
69,67,47,46,49,48,59,54,59
41,65,41,61,58,48,49,59,62
42,64,56,66,68,65,52,55,48
44,44,65,47,52,54,41,60,53
52,56,45,51,54,43,69,63,44
43,46,66,68,55,45,48,51,59
fixedCosts
7,8,8,7,8,13,16,12,15
13,8,11,9,15,6,8,6,6
12,5,16,17,15,12,9,14,5
9,11,7,8,9,8,9,19,11
19,14,18,19,8,17,15,5,15
11,14,7,19,9,9,10,15,14
5,15,5,12,9,9,16,6,10
6,10,12,13,15,18,13,9,10
9,16,5,18,15,11,13,7,7
