Supplies
37
71
96
89
87
Demands
80
51
42
65
49
CostMatrix
53,44,60,43,62,60,67,61,57
65,54,45,44,58,67,50,42,44
42,57,62,51,49,59,63,43,45
47,44,61,49,43,56,48,42,59
57,42,55,48,63,43,43,54,44
41,59,50,41,41,65,51,44,54
65,40,64,58,69,46,42,62,60
45,43,58,50,49,64,53,46,68
69,67,58,57,59,67,67,46,49
fixedCosts
9,13,8,9,19,17,19,18,7
14,14,10,18,11,11,14,12,15
14,8,16,17,8,15,15,14,7
18,18,5,6,15,5,9,7,14
7,12,8,14,13,13,10,14,6
6,13,13,7,13,10,16,9,5
19,18,5,8,8,15,11,15,16
7,13,8,9,15,14,10,18,14
12,18,6,16,16,13,8,16,16
